text,true,pred,length
"in his first stab at the form , jacquot takes a slightly anarchic approach that works only sporadically .",2,3,17
one long string of cliches .,1,0,5
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",1,0,29
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .,0,2,14
"it 's played in the most straight-faced fashion , with little humor to lighten things up .",1,3,15
"there is a fabric of complex ideas here , and feelings that profoundly deepen them .",3,4,14
"it may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .",2,1,24
"while the stoically delivered hokum of hart 's war is never fun , it 's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation .",2,3,31
it all feels like a monty python sketch gone horribly wrong .,0,1,11
it 's a stunning lyrical work of considerable force and truth .,3,4,11
exists then as an occasionally insightful acting exercise .,2,3,8
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",1,4,22
a mess when it comes to the characters and writing ... but works its way underneath the skin like few movies have in recent memory .,2,0,25
"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",3,4,27
` they ' begins and ends with scenes so terrifying i 'm still stunned .,2,1,12
"a perplexing example of promise unfulfilled , despite many charming moments .",2,3,10
smith is careful not to make fun of these curious owners of architectural oddities .,2,4,14
"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .",1,0,22
"there ought to be a directing license , so that ed burns can have his revoked .",0,1,15
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",4,3,22
"the jabs it employs are short , carefully placed and dead-center .",3,2,10
"despite its title , punch-drunk love is never heavy-handed .",3,2,8
at once half-baked and overheated .,1,3,5
"this is a shameless sham , calculated to cash in on the popularity of its stars .",0,1,15
"... a good , if not entirely fresh , look at war .",2,3,10
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",1,0,23
people cinema at its finest .,4,3,5
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",1,3,26
candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .,4,3,25
"its maker , steven spielberg , has n't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray .",2,3,29
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,1,3,13
coughs and sputters on its own postmodern conceit .,1,2,8
lovely and poignant .,4,3,3
"at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",1,0,37
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .,1,2,19
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .",0,1,24
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",4,3,27
exactly what it claims to be -- a simple diversion for the kids .,2,3,13
directed in a paint-by-numbers manner .,1,2,5
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .",1,2,31
"i have no way of knowing exactly how much is exaggeration , but i 've got a creepy feeling that the film is closer to the mark than i want to believe .",2,3,31
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .",1,3,38
huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,2,4,16
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .,0,1,13
"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .",1,3,20
-lrb- majidi -rrb- makes us think twice about immigrants we see around us every day .,2,4,15
it 's a bit disappointing that it only manages to be decent instead of dead brilliant .,1,3,16
that 's a cheat .,1,2,4
"the title not only describes its main characters , but the lazy people behind the camera as well .",1,0,17
i do n't think i laughed out loud once .,0,1,9
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .,1,2,21
i am sorry that i was unable to get the full brunt of the comedy .,1,3,15
... think of it as american pie on valium .,2,1,9
"the film takes the materials of human tragedy and dresses them in lovely costumes , southern california locations and star power .",2,3,20
this directorial debut from music video show-off higuchinsky is all flash .,2,4,11
here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,0,1,20
"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .",3,2,20
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .,4,1,13
new best friend 's playboy-mansion presentation of college life is laugh-out-loud ludicrous .,2,1,12
